word,n,proportion
situations,15,0.0911854103343465
sous,15,0.0911854103343465
très,15,0.0911854103343465
autre,14,0.0851063829787234
communication,14,0.0851063829787234
disponibles,14,0.0851063829787234
dédié,14,0.0851063829787234
etre,14,0.0851063829787234
examens,14,0.0851063829787234
fonctionnelle,14,0.0851063829787234
matériels,14,0.0851063829787234
med,14,0.0851063829787234
medecin,14,0.0851063829787234
mise,14,0.0851063829787234
médico,14,0.0851063829787234
perte,14,0.0851063829787234
peu,14,0.0851063829787234
pris,14,0.0851063829787234
problème,14,0.0851063829787234
repos,14,0.0851063829787234
techniques,14,0.0851063829787234
aigue,13,0.0790273556231003
appels,13,0.0790273556231003
après,13,0.0790273556231003
attente,13,0.0790273556231003
besoins,13,0.0790273556231003
calme,13,0.0790273556231003
demande,13,0.0790273556231003
deux,13,0.0790273556231003
espace,13,0.0790273556231003
gestes,13,0.0790273556231003
graves,13,0.0790273556231003
gérer,13,0.0790273556231003
humains,13,0.0790273556231003
interventions,13,0.0790273556231003
laquelle,13,0.0790273556231003
nuits,13,0.0790273556231003
nécessité,13,0.0790273556231003
organisé,13,0.0790273556231003
permet,13,0.0790273556231003
places,13,0.0790273556231003
suivi,13,0.0790273556231003
surtout,13,0.0790273556231003
vraie,13,0.0790273556231003
danger,12,0.0729483282674772
diagnostic,12,0.0729483282674772
difficile,12,0.0729483282674772
différée,12,0.0729483282674772
endroit,12,0.0729483282674772
façon,12,0.0729483282674772
hospitalisation,12,0.0729483282674772
immédiat,12,0.0729483282674772
met,12,0.0729483282674772
motifs,12,0.0729483282674772
orientation,12,0.0729483282674772
pause,12,0.0729483282674772
physique,12,0.0729483282674772
plein,12,0.0729483282674772
programmée,12,0.0729483282674772
rdv,12,0.0729483282674772
salles,12,0.0729483282674772
semaines,12,0.0729483282674772
taille,12,0.0729483282674772
traitant,12,0.0729483282674772
éviter,12,0.0729483282674772
aval,11,0.0668693009118541
brancard,11,0.0668693009118541
capable,11,0.0668693009118541
chance,11,0.0668693009118541
chez,11,0.0668693009118541
choses,11,0.0668693009118541
complémentaires,11,0.0668693009118541
exemple,11,0.0668693009118541
formé,11,0.0668693009118541
hospitalière,11,0.0668693009118541
idem,11,0.0668693009118541
imagerie,11,0.0668693009118541
ipa,11,0.0668693009118541
long,11,0.0668693009118541
minimum,11,0.0668693009118541
motif,11,0.0668693009118541
métier,11,0.0668693009118541
nécessaires,11,0.0668693009118541
peuvent,11,0.0668693009118541
proximité,11,0.0668693009118541
présente,11,0.0668693009118541
puisse,11,0.0668693009118541
secteurs,11,0.0668693009118541
soignant,11,0.0668693009118541
suffisante,11,0.0668693009118541
toujours,11,0.0668693009118541
urgentistes,11,0.0668693009118541
vraies,11,0.0668693009118541
évaluation,11,0.0668693009118541
aigu,10,0.060790273556231005
arrêter,10,0.060790273556231005
capacité,10,0.060790273556231005
cohésion,10,0.060790273556231005
domicile,10,0.060790273556231005
dès,10,0.060790273556231005
dédiée,10,0.060790273556231005
effectifs,10,0.060790273556231005
gens,10,0.060790273556231005
gravité,10,0.060790273556231005
hors,10,0.060790273556231005
médicales,10,0.060790273556231005
parcours,10,0.060790273556231005
partagé,10,0.060790273556231005
pauses,10,0.060790273556231005
pds,10,0.060790273556231005
permettre,10,0.060790273556231005
population,10,0.060790273556231005
psy,10,0.060790273556231005
publique,10,0.060790273556231005
ressources,10,0.060790273556231005
reste,10,0.060790273556231005
social,10,0.060790273556231005
spécialités,10,0.060790273556231005
sécurité,10,0.060790273556231005
traumato,10,0.060790273556231005
urgentes,10,0.060790273556231005
variés,10,0.060790273556231005
vrai,10,0.060790273556231005
accessible,9,0.054711246200607896
adéquat,9,0.054711246200607896
appel,9,0.054711246200607896
aucune,9,0.054711246200607896
bureau,9,0.054711246200607896
chirurgicale,9,0.054711246200607896
chu,9,0.054711246200607896
circuit,9,0.054711246200607896
complet,9,0.054711246200607896
consultations,9,0.054711246200607896
courte,9,0.054711246200607896
différentes,9,0.054711246200607896
douleurs,9,0.054711246200607896
détresse,9,0.054711246200607896
fluide,9,0.054711246200607896
formés,9,0.054711246200607896
grande,9,0.054711246200607896
généralistes,9,0.054711246200607896
heure,9,0.054711246200607896
hôpital,9,0.054711246200607896
infirmiers,9,0.054711246200607896
lorsque,9,0.054711246200607896
lumière,9,0.054711246200607896
maintien,9,0.054711246200607896
mettre,9,0.054711246200607896
niveau,9,0.054711246200607896
notamment,9,0.054711246200607896
optimal,9,0.054711246200607896
polyvalent,9,0.054711246200607896
problèmes,9,0.054711246200607896
propre,9,0.054711246200607896
présentant,9,0.054711246200607896
quantité,9,0.054711246200607896
quelques,9,0.054711246200607896
relève,9,0.054711246200607896
suffisants,9,0.054711246200607896
symptômes,9,0.054711246200607896
traiter,9,0.054711246200607896
travailler,9,0.054711246200607896
uhcd,9,0.054711246200607896
également,9,0.054711246200607896
état,9,0.054711246200607896
accueillir,8,0.0486322188449848
actuellement,8,0.0486322188449848
agents,8,0.0486322188449848
ainsi,8,0.0486322188449848
ambulancier,8,0.0486322188449848
biologie,8,0.0486322188449848
bonnes,8,0.0486322188449848
cliniques,8,0.0486322188449848
collègues,8,0.0486322188449848
confort,8,0.0486322188449848
connaissance,8,0.0486322188449848
contact,8,0.0486322188449848
continue,8,0.0486322188449848
différents,8,0.0486322188449848
décision,8,0.0486322188449848
défaillance,8,0.0486322188449848
définition,8,0.0486322188449848
examen,8,0.0486322188449848
externe,8,0.0486322188449848
extra,8,0.0486322188449848
facilement,8,0.0486322188449848
fluidité,8,0.0486322188449848
formée,8,0.0486322188449848
forte,8,0.0486322188449848
gérée,8,0.0486322188449848
humaine,8,0.0486322188449848
internes,8,0.0486322188449848
journée,8,0.0486322188449848
limiter,8,0.0486322188449848
logiciel,8,0.0486322188449848
marche,8,0.0486322188449848
meilleur,8,0.0486322188449848
meilleure,8,0.0486322188449848
missions,8,0.0486322188449848
moment,8,0.0486322188449848
multiples,8,0.0486322188449848
passage,8,0.0486322188449848
passer,8,0.0486322188449848
petite,8,0.0486322188449848
plutôt,8,0.0486322188449848
pratique,8,0.0486322188449848
problématique,8,0.0486322188449848
professionnel,8,0.0486322188449848
programmé,8,0.0486322188449848
prévu,8,0.0486322188449848
ratio,8,0.0486322188449848
recours,8,0.0486322188449848
rien,8,0.0486322188449848
réa,8,0.0486322188449848
réaliser,8,0.0486322188449848
réguler,8,0.0486322188449848
répondre,8,0.0486322188449848
simple,8,0.0486322188449848
spécialiste,8,0.0486322188449848
traitement,8,0.0486322188449848
transfert,8,0.0486322188449848
urg,8,0.0486322188449848
venant,8,0.0486322188449848
vrais,8,0.0486322188449848
week,8,0.0486322188449848
équipé,8,0.0486322188449848
événement,8,0.0486322188449848
absence,7,0.0425531914893617
acceptable,7,0.0425531914893617
aggravation,7,0.0425531914893617
ambiance,7,0.0425531914893617
ambulatoire,7,0.0425531914893617
autant,7,0.0425531914893617
beaucoup,7,0.0425531914893617
brancards,7,0.0425531914893617
compte,7,0.0425531914893617
conséquence,7,0.0425531914893617
correctement,7,0.0425531914893617
critiques,7,0.0425531914893617
côté,7,0.0425531914893617
devrait,7,0.0425531914893617
différé,7,0.0425531914893617
discuter,7,0.0425531914893617
donner,7,0.0425531914893617
dédiés,7,0.0425531914893617
environnement,7,0.0425531914893617
familles,7,0.0425531914893617
faute,7,0.0425531914893617
favoriser,7,0.0425531914893617
grands,7,0.0425531914893617
important,7,0.0425531914893617
infirmier,7,0.0425531914893617
intervention,7,0.0425531914893617
lieux,7,0.0425531914893617
limite,7,0.0425531914893617
lumineux,7,0.0425531914893617
mao,7,0.0425531914893617
mettant,7,0.0425531914893617
moyenne,7,0.0425531914893617
pense,7,0.0425531914893617
propres,7,0.0425531914893617
radio,7,0.0425531914893617
recevoir,7,0.0425531914893617
recherche,7,0.0425531914893617
réanimation,7,0.0425531914893617
régulières,7,0.0425531914893617
rôle,7,0.0425531914893617
sauf,7,0.0425531914893617
sein,7,0.0425531914893617
semble,7,0.0425531914893617
simulation,7,0.0425531914893617
sociale,7,0.0425531914893617
spacieux,7,0.0425531914893617
spécialisés,7,0.0425531914893617
supplémentaires,7,0.0425531914893617
système,7,0.0425531914893617
varié,7,0.0425531914893617
vue,7,0.0425531914893617
véhicule,7,0.0425531914893617
zone,7,0.0425531914893617
aigus,6,0.0364741641337386
amont,6,0.0364741641337386
amu,6,0.0364741641337386
améliorer,6,0.0364741641337386
anticipée,6,0.0364741641337386
attendent,6,0.0364741641337386
aucun,6,0.0364741641337386
autour,6,0.0364741641337386
bed,6,0.0364741641337386
but,6,0.0364741641337386
carence,6,0.0364741641337386
certains,6,0.0364741641337386
chacun,6,0.0364741641337386
compris,6,0.0364741641337386
compétence,6,0.0364741641337386
concernant,6,0.0364741641337386
confiance,6,0.0364741641337386
coordination,6,0.0364741641337386
corps,6,0.0364741641337386
critère,6,0.0364741641337386
davantage,6,0.0364741641337386
dechocage,6,0.0364741641337386
devant,6,0.0364741641337386
diagnostique,6,0.0364741641337386
direct,6,0.0364741641337386
direction,6,0.0364741641337386
disponibilité,6,0.0364741641337386
décompensation,6,0.0364741641337386
défini,6,0.0364741641337386
efficaces,6,0.0364741641337386
end,6,0.0364741641337386
entente,6,0.0364741641337386
entière,6,0.0364741641337386
exercice,6,0.0364741641337386
exercices,6,0.0364741641337386
explorations,6,0.0364741641337386
facilité,6,0.0364741641337386
faudrait,6,0.0364741641337386
fixe,6,0.0364741641337386
forcément,6,0.0364741641337386
garantir,6,0.0364741641337386
horaires,6,0.0364741641337386
idéale,6,0.0364741641337386
idéalement,6,0.0364741641337386
juste,6,0.0364741641337386
lien,6,0.0364741641337386
longue,6,0.0364741641337386
lors,6,0.0364741641337386
mal,6,0.0364741641337386
management,6,0.0364741641337386
medecine,6,0.0364741641337386
mieux,6,0.0364741641337386
milieu,6,0.0364741641337386
mission,6,0.0364741641337386
mixte,6,0.0364741641337386
modernes,6,0.0364741641337386
métiers,6,0.0364741641337386
nombres,6,0.0364741641337386
nécessitent,6,0.0364741641337386
optimale,6,0.0364741641337386
orienté,6,0.0364741641337386
ouvert,6,0.0364741641337386
paramédicaux,6,0.0364741641337386
passages,6,0.0364741641337386
permettrait,6,0.0364741641337386
pluridisciplinaire,6,0.0364741641337386
populations,6,0.0364741641337386
primaires,6,0.0364741641337386
professionnelle,6,0.0364741641337386
précédente,6,0.0364741641337386
psychiatrique,6,0.0364741641337386
public,6,0.0364741641337386
questionnaire,6,0.0364741641337386
questions,6,0.0364741641337386
quotidien,6,0.0364741641337386
raisonnable,6,0.0364741641337386
risques,6,0.0364741641337386
réellement,6,0.0364741641337386
réflexion,6,0.0364741641337386
régulateur,6,0.0364741641337386
réorientation,6,0.0364741641337386
sais,6,0.0364741641337386
seul,6,0.0364741641337386
soigner,6,0.0364741641337386
sorties,6,0.0364741641337386
soulager,6,0.0364741641337386
spécialisé,6,0.0364741641337386
spécifique,6,0.0364741641337386
spécifiques,6,0.0364741641337386
territoire,6,0.0364741641337386
thérapeutique,6,0.0364741641337386
traitements,6,0.0364741641337386
triage,6,0.0364741641337386
téléphone,6,0.0364741641337386
variée,6,0.0364741641337386
véhicules,6,0.0364741641337386
zones,6,0.0364741641337386
équipés,6,0.0364741641337386
accueillant,5,0.030395136778115502
acteurs,5,0.030395136778115502
activités,5,0.030395136778115502
actuel,5,0.030395136778115502
adaptées,5,0.030395136778115502
administratif,5,0.030395136778115502
administratifs,5,0.030395136778115502
aide,5,0.030395136778115502
ans,5,0.030395136778115502
atteinte,5,0.030395136778115502
autonomie,5,0.030395136778115502
aéré,5,0.030395136778115502
bas,5,0.030395136778115502
bilan,5,0.030395136778115502
carrière,5,0.030395136778115502
change,5,0.030395136778115502
charges,5,0.030395136778115502
chose,5,0.030395136778115502
chroniques,5,0.030395136778115502
complications,5,0.030395136778115502
confidentialité,5,0.030395136778115502
confortable,5,0.030395136778115502
conséquent,5,0.030395136778115502
coopération,5,0.030395136778115502
cours,5,0.030395136778115502
culture,5,0.030395136778115502
dire,5,0.030395136778115502
dit,5,0.030395136778115502
dégradation,5,0.030395136778115502
encore,5,0.030395136778115502
entrant,5,0.030395136778115502
ergonomique,5,0.030395136778115502
externes,5,0.030395136778115502
faites,5,0.030395136778115502
fin,5,0.030395136778115502
fonctionnelles,5,0.030395136778115502
fonctionnels,5,0.030395136778115502
font,5,0.030395136778115502
humaines,5,0.030395136778115502
idée,5,0.030395136778115502
immediate,5,0.030395136778115502
importe,5,0.030395136778115502
imprévue,5,0.030395136778115502
informatique,5,0.030395136778115502
jeune,5,0.030395136778115502
laisser,5,0.030395136778115502
large,5,0.030395136778115502
lendemain,5,0.030395136778115502
logiciels,5,0.030395136778115502
maison,5,0.030395136778115502
malades,5,0.030395136778115502
maladie,5,0.030395136778115502
materiel,5,0.030395136778115502
medical,5,0.030395136778115502
medicale,5,0.030395136778115502
mis,5,0.030395136778115502
moderne,5,0.030395136778115502
organisée,5,0.030395136778115502
orienter,5,0.030395136778115502
paramédicales,5,0.030395136778115502
parfois,5,0.030395136778115502
patiznts,5,0.030395136778115502
permanence,5,0.030395136778115502
planning,5,0.030395136778115502
pointe,5,0.030395136778115502
politique,5,0.030395136778115502
pompier,5,0.030395136778115502
pompiers,5,0.030395136778115502
pose,5,0.030395136778115502
pourquoi,5,0.030395136778115502
pourrait,5,0.030395136778115502
pratiques,5,0.030395136778115502
premier,5,0.030395136778115502
pression,5,0.030395136778115502
professions,5,0.030395136778115502
prévisible,5,0.030395136778115502
prévue,5,0.030395136778115502
psychiatrie,5,0.030395136778115502
psychologique,5,0.030395136778115502
pédiatrie,5,0.030395136778115502
quelque,5,0.030395136778115502
reconnaissance,5,0.030395136778115502
relations,5,0.030395136778115502
reponse,5,0.030395136778115502
respecté,5,0.030395136778115502
respectés,5,0.030395136778115502
rester,5,0.030395136778115502
récente,5,0.030395136778115502
réguliers,5,0.030395136778115502
régulière,5,0.030395136778115502
régulièrement,5,0.030395136778115502
répondu,5,0.030395136778115502
salaire,5,0.030395136778115502
scanner,5,0.030395136778115502
secrétariat,5,0.030395136778115502
seulement,5,0.030395136778115502
sinon,5,0.030395136778115502
solution,5,0.030395136778115502
sortant,5,0.030395136778115502
soudée,5,0.030395136778115502
spé,5,0.030395136778115502
staff,5,0.030395136778115502
tant,5,0.030395136778115502
temporalité,5,0.030395136778115502
tension,5,0.030395136778115502
travaille,5,0.030395136778115502
travaillent,5,0.030395136778115502
trouver,5,0.030395136778115502
types,5,0.030395136778115502
usagers,5,0.030395136778115502
valoriser,5,0.030395136778115502
value,5,0.030395136778115502
vont,5,0.030395136778115502
équilibre,5,0.030395136778115502
établissement,5,0.030395136778115502
absolue,4,0.0243161094224924
accessibles,4,0.0243161094224924
adaptable,4,0.0243161094224924
adaptation,4,0.0243161094224924
administratives,4,0.0243161094224924
adressé,4,0.0243161094224924
adulte,4,0.0243161094224924
aiguës,4,0.0243161094224924
aller,4,0.0243161094224924
alors,4,0.0243161094224924
antennes,4,0.0243161094224924
anticipé,4,0.0243161094224924
attendu,4,0.0243161094224924
augmenter,4,0.0243161094224924
autonome,4,0.0243161094224924
bienveillance,4,0.0243161094224924
binôme,4,0.0243161094224924
bons,4,0.0243161094224924
brancardier,4,0.0243161094224924
bureaux,4,0.0243161094224924
ccmu,4,0.0243161094224924
centrée,4,0.0243161094224924
changement,4,0.0243161094224924
chirurgie,4,0.0243161094224924
chronophages,4,0.0243161094224924
clair,4,0.0243161094224924
cohérent,4,0.0243161094224924
complexe,4,0.0243161094224924
concerne,4,0.0243161094224924
concerné,4,0.0243161094224924
conséquences,4,0.0243161094224924
degré,4,0.0243161094224924
dehors,4,0.0243161094224924
demandes,4,0.0243161094224924
diagnostiquer,4,0.0243161094224924
directement,4,0.0243161094224924
dynamique,4,0.0243161094224924
décisions,4,0.0243161094224924
décès,4,0.0243161094224924
développement,4,0.0243161094224924
développer,4,0.0243161094224924
ehpad,4,0.0243161094224924
encadrement,4,0.0243161094224924
ensemble,4,0.0243161094224924
entretenus,4,0.0243161094224924
envie,4,0.0243161094224924
espaces,4,0.0243161094224924
existe,4,0.0243161094224924
extérieur,4,0.0243161094224924
face,4,0.0243161094224924
facile,4,0.0243161094224924
famille,4,0.0243161094224924
fluidifier,4,0.0243161094224924
fracture,4,0.0243161094224924
genre,4,0.0243161094224924
grandes,4,0.0243161094224924
gère,4,0.0243161094224924
générales,4,0.0243161094224924
handicap,4,0.0243161094224924
harmonie,4,0.0243161094224924
haut,4,0.0243161094224924
hebdomadaire,4,0.0243161094224924
hospitaliers,4,0.0243161094224924
hospitaliser,4,0.0243161094224924
hôpitaux,4,0.0243161094224924
iao,4,0.0243161094224924
imprévisible,4,0.0243161094224924
imprévu,4,0.0243161094224924
lequel,4,0.0243161094224924
lesquelles,4,0.0243161094224924
libérale,4,0.0243161094224924
libéraux,4,0.0243161094224924
lignes,4,0.0243161094224924
malade,4,0.0243161094224924
matin,4,0.0243161094224924
meme,4,0.0243161094224924
mentale,4,0.0243161094224924
merci,4,0.0243161094224924
mesure,4,0.0243161094224924
minimiser,4,0.0243161094224924
mmg,4,0.0243161094224924
mêmes,4,0.0243161094224924
neuf,4,0.0243161094224924
nombreux,4,0.0243161094224924
nouvelles,4,0.0243161094224924
optimisation,4,0.0243161094224924
orientés,4,0.0243161094224924
palier,4,0.0243161094224924
para,4,0.0243161094224924
paramédicale,4,0.0243161094224924
pareil,4,0.0243161094224924
partie,4,0.0243161094224924
partir,4,0.0243161094224924
performants,4,0.0243161094224924
personnellement,4,0.0243161094224924
petits,4,0.0243161094224924
peur,4,0.0243161094224924
plages,4,0.0243161094224924
plan,4,0.0243161094224924
polyvalence,4,0.0243161094224924
polyvalente,4,0.0243161094224924
post,4,0.0243161094224924
primaire,4,0.0243161094224924
priorité,4,0.0243161094224924
problématiques,4,0.0243161094224924
proche,4,0.0243161094224924
projets,4,0.0243161094224924
pré,4,0.0243161094224924
préalable,4,0.0243161094224924
présence,4,0.0243161094224924
puis,4,0.0243161094224924
pédiatrique,4,0.0243161094224924
pôle,4,0.0243161094224924
rapidité,4,0.0243161094224924
rapport,4,0.0243161094224924
recommandations,4,0.0243161094224924
relative,4,0.0243161094224924
relever,4,0.0243161094224924
relèvent,4,0.0243161094224924
remise,4,0.0243161094224924
rendez,4,0.0243161094224924
repondre,4,0.0243161094224924
retrouve,4,0.0243161094224924
roulement,4,0.0243161094224924
rythme,4,0.0243161094224924
réel,4,0.0243161094224924
réelle,4,0.0243161094224924
régulateurs,4,0.0243161094224924
régulé,4,0.0243161094224924
réseau,4,0.0243161094224924
secondaire,4,0.0243161094224924
secondaires,4,0.0243161094224924
sectorisé,4,0.0243161094224924
smurs,4,0.0243161094224924
société,4,0.0243161094224924
sommeil,4,0.0243161094224924
sortie,4,0.0243161094224924
sortir,4,0.0243161094224924
souvent,4,0.0243161094224924
sse,4,0.0243161094224924
stabilisation,4,0.0243161094224924
stabiliser,4,0.0243161094224924
staffs,4,0.0243161094224924
suffidant,4,0.0243161094224924
super,4,0.0243161094224924
surveillance,4,0.0243161094224924
survenue,4,0.0243161094224924
séparation,4,0.0243161094224924
thoracique,4,0.0243161094224924
tourner,4,0.0243161094224924
tris,4,0.0243161094224924
trous,4,0.0243161094224924
trouve,4,0.0243161094224924
urgentiste,4,0.0243161094224924
venir,4,0.0243161094224924
via,4,0.0243161094224924
vision,4,0.0243161094224924
vitaux,4,0.0243161094224924
vocation,4,0.0243161094224924
équipement,4,0.0243161094224924
équité,4,0.0243161094224924
étudiants,4,0.0243161094224924
absent,3,0.0182370820668693
accessibilité,3,0.0182370820668693
accident,3,0.0182370820668693
accompagnants,3,0.0182370820668693
accompagner,3,0.0182370820668693
action,3,0.0182370820668693
actuelle,3,0.0182370820668693
adapter,3,0.0182370820668693
ade,3,0.0182370820668693
adéquate,3,0.0182370820668693
agréable,3,0.0182370820668693
aider,3,0.0182370820668693
alentours,3,0.0182370820668693
ambulance,3,0.0182370820668693
anticipable,3,0.0182370820668693
architecture,3,0.0182370820668693
assurant,3,0.0182370820668693
attendue,3,0.0182370820668693
attentes,3,0.0182370820668693
auprès,3,0.0182370820668693
bcp,3,0.0182370820668693
bienveillante,3,0.0182370820668693
biologiques,3,0.0182370820668693
boxes,3,0.0182370820668693
brefs,3,0.0182370820668693
bruit,3,0.0182370820668693
brutale,3,0.0182370820668693
cabinet,3,0.0182370820668693
cardio,3,0.0182370820668693
catastrophe,3,0.0182370820668693
certain,3,0.0182370820668693
chir,3,0.0182370820668693
chirurgicales,3,0.0182370820668693
chirurgicaux,3,0.0182370820668693
classic,3,0.0182370820668693
combler,3,0.0182370820668693
communications,3,0.0182370820668693
complète,3,0.0182370820668693
comprendre,3,0.0182370820668693
compétant,3,0.0182370820668693
compétent,3,0.0182370820668693
compétents,3,0.0182370820668693
concernée,3,0.0182370820668693
conseil,3,0.0182370820668693
constante,3,0.0182370820668693
consulter,3,0.0182370820668693
contraire,3,0.0182370820668693
convenable,3,0.0182370820668693
convivialité,3,0.0182370820668693
coordonner,3,0.0182370820668693
coordonnée,3,0.0182370820668693
correspondant,3,0.0182370820668693
créer,3,0.0182370820668693
créneaux,3,0.0182370820668693
cœur,3,0.0182370820668693
dechoc,3,0.0182370820668693
delais,3,0.0182370820668693
delà,3,0.0182370820668693
dernière,3,0.0182370820668693
devraient,3,0.0182370820668693
difficulté,3,0.0182370820668693
difficultés,3,0.0182370820668693
différence,3,0.0182370820668693
différent,3,0.0182370820668693
dimensionné,3,0.0182370820668693
diminuer,3,0.0182370820668693
divers,3,0.0182370820668693
docteur,3,0.0182370820668693
domaine,3,0.0182370820668693
domaines,3,0.0182370820668693
dormir,3,0.0182370820668693
durée,3,0.0182370820668693
déchoc,3,0.0182370820668693
décroché,3,0.0182370820668693
défaut,3,0.0182370820668693
définir,3,0.0182370820668693
définis,3,0.0182370820668693
dégrader,3,0.0182370820668693
délétère,3,0.0182370820668693
désengorger,3,0.0182370820668693
effecteurs,3,0.0182370820668693
efficient,3,0.0182370820668693
enfant,3,0.0182370820668693
entourage,3,0.0182370820668693
