"Horodateur","J'accepte de répondre à ce questionnaire et que les données soient utilisées de manière anonyme.","Sexe","Tranche d'âge en année","Fonction en structure d'urgence","Depuis le début de votre carrière, depuis combien d'années participez-vous à la médecine d'urgence ? (Pour les médecins : internat compris) ","Type de structure","Postes exercés","Selon vous, quelles seraient les conditions idéales de cadre professionnel pour exercer la médecine d'urgence de manière optimale ? ","Comment définiriez-vous une structure d'urgence idéale?","Comment définiriez-vous un service d'urgence idéal?","Comment définiriez-vous un SAMU-SAS idéal?","Comment définiriez-vous un SMUR idéal?","Comment définiriez-vous le lieu de travail idéal en médecine d'urgence ?","Comment définiriez-vous le nombre d'heures de travail par semaine idéal en médecine d'urgence ?","Comment définiriez-vous le nombre de postes de nuit par semaine idéal en médecine d'urgence ?","Comment définiriez-vous la médecine d'urgence idéale, en terme de type de patients ?","Comment définiriez-vous la médecine d'urgence idéale, en terme de type de soins?","Comment définiriez-vous une situation d'urgence ?","Comment définiriez-vous une situation non urgente ?","Comment définiriez-vous une situation non programmée ?","Sur une échelle de 0 (médiocre) à 10 (excellent) [Quelle est votre perception actuelle de la spécialité Médecine d'Urgence (part de l’urgence réelle, relation avec la médecine de ville, relation avec les autres spécialités)?]","Sur une échelle de 0 (médiocre) à 10 (excellent) [Quelle est votre perception future de la spécialité Médecine d'Urgence (part de l’urgence réelle, relation avec la médecine de ville, relation avec les autres spécialités)?]","Sur une échelle de 0 (médiocre) à 10 (excellent) [Quelle est votre perception actuelle sur l'exercice  (horaires, qualité de vie au travail, ambiance) de la médecine d'urgence ?]","Sur une échelle de 0 (médiocre) à 10 (excellent) [Quelle est votre perception future sur l'exercice (horaires, qualité de vie au travail, ambiance) de la médecine d'urgence ? ]","Commentaire libre"
"2025/09/02 8:42:41 PM UTC+1","Oui","Femme","30-40 ans","Praticien non chef de service","16","Centre Hospitalier Général","SMUR;Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD","des hopitaux avec de la place en aval , dossier médical partagé régional ou national , une voirure de SMUR qui a moins de 300000 kms, des IDE en nombre suffisant sur tous les postes ... ","SAMU et SMUR coopérants, tous les médecins urgentistes participent à tous les secteurs
spécialistes disponibles , avis Psy H24","filières de réorientation rapide efficientes, places d'aval disponibles, spécialistes disponibles pour des avis, imagerie disponible H24 sans négociations interminables ","il faut des possibilités de consultation rapide méd gé et spécialistes - SAMU qui adresse les patients là où ils sont suivis pour leurs pathos chroniques et pas au + près ","équipes méd et paraméd habituées à travailler ensemble, réalisant plusieurs exercices par an ensemble et en coopération avec les SP et pourquoi pas des AP, protocoles régionaux pour les pathologies classiques, exercices régionaux, possibilité d'entrées directes en réa, USIC, USINV ... ","lumineux ! pourquoi tous les services sont en sous sol ? avec un espace de détente intérieur et extérieur, un accès direct à la radio et au scanner, proximité immédiate de la réa, du SMUR, de l'USIC et de l'obstétrique ","à 40h/ semaine en moyenne (je suis à 60%) c'est idéal","1 à 2 maximum, et sans faire de 24h qui sont une hérésie","les patients des urgences sont agés, ça ne changera pas, mais on peut créer des filières d'urgences gériatriques, il faut sortir des urgences les gens qui n'en relèvent pas mais actuellement pas assez de créneaux de consultation rapide en ville, et patients non éduqués à l'urgence ","soins qui relèvent de l'urgence, gestes techniques multiples, temps pour expliquer les choses aux patients, discuter des prises en charge entre médecins ","pronostic vital engagé ou potentiellement engagé à moyen terme, urgence chirurgicale, détresse psychiatrique ","situation qui peut être gérée en externe, pour laquelle un délai de qq heures avant la réalisation du dg ou des ttt ne met pas en jeu le pronostic vital ","un pb de santé qui ne peut attendre pour être pris en charge ","5","5","5","5",""
"2025/09/03 1:07:20 AM UTC+1","Oui","Femme","20-30 ans","Infirmier diplômé d'état","2","Centre Hospitalier Universitaire","Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD","l’exercice optimal de la médecine d’urgence repose sur un équilibre subtil entre moyens matériels performants, ressources humaines suffisantes et bien formées, et reconnaissance salariale. Il y à également les locaux qui doivent être équipés et plus grands pour le taux de population présente aux urgences","Pas d’absentéisme 
Nombre suffisant de brancard
Plus d’équipe médicale et paramédical 
Rapidité des résultats biologiques 
Locaux plus grand 
Bonne cohésion de groupe ","Pas d’absentéisme 
Nombre suffisant de brancard
Plus d’équipe médicale et paramédical 
Rapidité des résultats biologiques 
Locaux plus grand 
Bonne cohésion de groupe ","?","?","Grand locaux 
Lieu propre en permanence 
Box équipés 
Plus de box 
Plus grande salle de dechocage avec plus de paramed 
Pharmacie avec plus de dotation ","En tant que paramed 36-48h","3 a 4 postes nuits par semaine","Moins de patients psy —> faire des urgences psy pour accueillir tous les patients psy directement là-bas pour toutes les IMV-TS-Etat de crise ","?","Situation d’urgence = pronostic vital engagé = douleurs intenses = fractures, plaies ,brûlures, agressions sexuelles, état de choc","Quand la douleur du patient est relative, quand il n’a pas de douleurs, quand le motif peut être accepté en MMG, quand le motif date de plusieurs jours voir plusieurs mois","C’est quand il y a","1","2","1","0",""
"2025/09/03 8:12:22 AM UTC+1","Oui","Homme","60-70 ans","Praticien chef de service","15","Centre Hospitalier Universitaire","Filière médico-chirurgicale;Salle d'accueil des urgences vitales","xxx","xxx","xxx","xxx","xxx","xxx","39 clinique + 2 demi-journées extracliniques","1","ceux pour lesquels la prise en charge en urgence change leur pronostic","soins urgents, EBM, avec maitrise des couts","celles pour lesquelles la prise en charge en urgence change le pronostic ","l'inverse","xxx","4","4","6","6",""
"2025/09/03 8:21:55 AM UTC+1","Oui","Homme","50-60 ans","Praticien non chef de service","24","Centre Hospitalier Universitaire","SAMU-SAS;SMUR;Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD","Avec suffisamment de temps pour chaque patient, des lits d aval, des couloirs vides et des moyens ","Fluide, rapide","Fluide rapide ","Doté de moyens variés à proposer","Reparti de façon homogène sur le territoire, uniformisé ","Compétence, efficience, équipe soudée, temps d’attente courts ","39","1","Sans avoir à gérer la PDS","Comme son nom l’indique des soins d’urgence ","Qui ne peut pas attendre sans avoir de conséquence rapide pour le patient ","Situation relevant de la médecine de ville","Situation ressentie comme urgente par le patient ","4","5","4","5",""
"2025/09/03 8:34:34 AM UTC+1","Oui","Femme","30-40 ans","Assistant de régulation médicale","10","Centre Hospitalier Universitaire","SAMU-SAS","Respect des recommandations nationales concernant l effectif et procedures à disposition pour s'y appuyer et uniformiser les pratiques","Organisée ","Propre, effectif respecté, temps d'attente raisonnable ","Structuré et bonne repartition de la charge de travail sur les agents presents ","Vehicules adaptés et entretenus, équipe formée et esprit d equipe","Matériel effectif ","35","1","Qualitative","*","toute situation dans laquelle la sécurité ou la vie est menacée et qui exige une réponse rapide et appropriée pour éviter des conséquences graves","Le contraire","événement ou une demande imprévue, ne figurant pas dans l’organisation initialement planifiée, et nécessitant une adaptation immédiate des activités, sans pour autant relever nécessairement d’une situation d’urgence","4","0","6","3",""
"2025/09/03 8:38:03 AM UTC+1","Oui","Homme","30-40 ans","Infirmier de pratique avancé","7","Centre Hospitalier Universitaire;Centre Hospitalier Général","Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD","Respect du temps de travail ergonomie évaluation d’un nombre minimum de personnel formation régulière  lits d’aval des filières qui peuvent recevoir les patients identifiés temps de travail transversale identifié medicoparamedical temps de cohésion valoriser la stabilité de l’équipe cohésion ","Des urgences au centre de l hôpital travailler sur les filières patients fluidifier les parcours 
Valorisation des compétences ","Formation trimestrielle débriefings réguliers APP commission patient moyens matériels ","Différentier SAS et SAMU ","Graduer les sortie SMUR protocole nationaux matériel formations simulation exercice SSE, ne pas avoir d'équipe SMUR ET SAU séparé. 
Que le SMUR soit un poste à part entière du SAU ","Ergonomique matériel ressent 
couleurs spacieux convivial 
Accueillant ","30h de garde 5h administratif","12h","Éclectique 
(médecine, traumatologie, pédiatrie, chirurgie, vitale et non vitale, social, psychiatrie, gynécologie )","Technique, entretien, relationnel, clinique, expetise ","Une situation nécessitant une prise en charge rapide pour limiter la dégradation du patient ","Par une nécessité de prise en charge pouvant être différé.","Prise en charge nécessaire, mais pouvant être différé sans risque de perte de chance","0","6","1","5","Merci pour cette étude "
"2025/09/03 9:03:33 AM UTC+1","Oui","Homme","50-60 ans","Praticien non chef de service","30","Centre Hospitalier Universitaire;Centre Hospitalier Général","SAMU-SAS;SMUR","diminution des tensions interpersonnelles liées aux difficultés RH","offre adaptée à la demande","lits d'aval suffisants","TSU suffisants","formation spécifique des ADE","séparation de l'extérieur pour les SU, lieux de convivialités","fonction des individualités, le TTA sur la base réelle du volontariat","variable avec l'âge et la condition physique mais au delà de 2 c'est difficilement tenable jusqu'à 60 ans","Patient nécessitant une prise en charge dans un délai se comptant en heure et non pas en jours avec nécessité d'un plateau technique.","Soins ne pouvant attendre plus de quelques heures et de la compétence d'un urgentiste.","Ne peut pas attendre le lendemain.","Peut attendre le lendemain sans risque.","Ne peut pas attendre le lendemain sans nécessité de plateau technique.","3","3","2","3",""
"2025/09/03 9:31:37 AM UTC+1","Oui","Homme","50-60 ans","Praticien non chef de service","23","Centre Hospitalier Universitaire;Centre Hospitalier Général","SAMU-SAS;SMUR;Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD","des locaux adaptés, des logiciels ergonomiques faits pour l'utilisateur, les taches administratives délégués à un secrétariat dédié, des conditions hôtelières un ratio soignant /malades cohérent , du temps pour accompagner les étudiants,","un maillage cohérent dont la mission, les moyens de contactset d'accès sont connus par une population d'usagers qui y a été sensibilisé par des moyens nationaux à grande échelle.","Un accès régulé à un plateau technique et des locaux fonctionnels et dimensionnés, ayant des coopérations internes hospitaliers et externes efficients, équipés d'interface informatiques métiers faites pour les utilisateurs, avec un ratio soignants/patients juste, et des conditions matérielles et humaine d'accueil dignes.","Des locaux répondant aux règles d'aménagement  et d'environnement/ergonomie d'un call center,  le respect mutuel des compétences et fonctionnement de chaque métier (ARM, Médecin, OSNP), une formation continue de chaque professionnelle, Une bonne ambiance de vie d'équipe","un ambulancier smur qualifié, un(e) IDE qualifié,(e),  1 medecin qualifié, 1 interne de médecine d'urgence ou autre étudiant, un équipement raisonné et choisi  mais pas contraint, un véhicule pleinement opérationnel.","des locaux fonctionnels, du matériel adapté et des logiciels faits pour les utilisateurs","30H clinique, 5H d'encadrement des étudiants, 5H d'administratif pour la vie de service et projet, 5H de formation personnelle","Maximum 1 par semaine, avec une réflexion sur la pénibilité et l'âge","tous les patients dont l'urgentiste à une plus value à apporter qui ne relève pas à l'avance d'une autre filière.","la médecine d'urgence c'est le soins juste aux urgences ou en smur qui n'est pas fait par carence des autres structures de soins","une detresse psychologique, sociale, médicale qui nécessite une mise en sécurité et des soins immédiat.","une situation qui relève de la compétence d'un medecin généraliste en programmé","une situation qui relève d'un medecin généraliste dans la journée","5","4","5","4","je pense que les CHU et CH régionaux doivent accompagner/Partager avec  les équipes des plus petites structures dans l'organisation des RMM, des protocoles, des formations continus, des Staffs"
"2025/09/03 10:08:49 AM UTC+1","Oui","Homme","30-40 ans","Praticien non chef de service","11","Centre Hospitalier Universitaire","SAMU-SAS;SMUR;Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD","Temps partagé ","Cadre sympathique, lumineux, des lits d’aval","Grand service lumineux","Temps de réponses avec réponse adapté ","Activité varié, réponse adapté, du tsu a l’équipe médicale en passant par le paramédical ","Un endroit entre terre et mer","Max 48","1","Varié et sympathique ","Le plus varié possible ","Risque vital","Risque non vital ","Recours nécessaire aux soins","7","7","6","8",""
"2025/09/03 2:14:28 PM UTC+1","Oui","Femme","40-50 ans","Praticien non chef de service","18","Centre Hospitalier Universitaire;Centre Hospitalier Général","SMUR;Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD","Taille de structure adapté au nombre de patient à recevoir (urgences trop petite pour le flux), plus de lit d'aval, plus grande disponibilité des spécialistes (délai d'avis déconnant, juniorisé donc long et inadapté), ne pas être le seul senior de garde pour couper la nuit, plus de paramed, moins de conflit avec les spécialistes, médecine de ville moins dysfonctionnante,........","Des paraméd engagés et investis, des locaux adaptés au flux, des zones de départs gérées/ d'hospitalisation d'attente en cas d'absence de lit géré par les spécialistes ou du moins pas dans les urgences. Moins de sociale pure. ","Un service où il n'y a que des urgences et pas être la benne à ordures des spécialistes, la voix d'accès à une prise en charge plus rapide, il y a de plus en plus de MG qui nous envoient des patients pour avis non urgent car ils n'ont plus de réseau ou les délais en ville sont trop long ou ils n'ont plus envie de se faire chier pour leurs patients...
J'aurais bien dit : régulation des entrées mais pour avoir vu des collègues généralistes réguler, ça ne nous aide pas du tout, voir le contraire....","Un SAMU où l'ensemble des équipes soit mutualisé avec les urgences pour une meilleure connaissance du fonctionnement des structures internes et surtout des prises en charge des patients, une plus grande autonomie / développement des UHM car la présence d'un médecin dans camion de smur et inutile dans 80% des cas. ","Cf question du dessus","Cf service d'urgences idéales. Lieu de travail collectif et non sectorisé pour plus de convivialité","48h administratif inclus","Tout dépend du type de nuit et des moments de vie. 
Plus jeune, deux par semaine ne me dérangeaient pas. Avec un enfant jeune, être absente deux nuits par semaine (hors vie sociale) est un peu beaucoup. Quand il sera au lycée, ca ne me dérangera plus. 
Sauf si ce ne sont que des nuits atroces où on mange à 2h du mat sans avoir eu le temps ne serait-ce que de se rendre au toilette, solliciter toutes les 10 minutes, avec un flux délirant et une absence de lit. 
Auquel cas, passer la quarantaine j'ai envie de dire 0 ! ","Des situations aigues ne pouvant être gérée en externe non pas par manque de moyen, d'organisation, de recours médicale, de tolérance à la frustration mais par nécessité de prendre en charge ou d'éliminer une urgence. ","prise en charge d'une situation aigue ","pathologie susceptible de s'aggraver avec conséquence fonctionnelle grave dans les 24-48h","Situation ne correspondant pas à la situation décrite ci-dessus","situation aigue n'entrant pas dans le suivi d'une pathologie donc non anticipable","4","4","5","2",""
"2025/09/03 2:34:54 PM UTC+1","Oui","Femme","30-40 ans","Praticien non chef de service","8","Centre Hospitalier Universitaire;Centre Hospitalier Général","SAMU-SAS;SMUR;Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD;urgences pédiatriques","Place d'hospitalisation, effectif médical et paramédical plein, coupe de sommeil sur 24 heures de 4 h de sommeil par garde, salaire uniformisé entre salaire et clinique, avoir le temps informer les familles et les patients. La clinique qui ne refuse pas les patients sans même les voir. Médecine pré hospitaliere - medecine générale - qui fonctionne correctement !! ","Sereine. Pas  ( ou moins ) de tension de lit d'aval, soignants reposés ( ambulancier jusqu'au service receveur)","Garde vivable ( et non plus une question de survie), effectif plein, valorisation financiere du travail de nuit et de week end. Avec un plateau de médecis généraliste aux alentours qui assume le flux local ( et dans un monde idéal ++ , ou l'on se connait et pouvait discuter des PEC à posteriori --> I have a dream ) ","L'urgences vitale me semble etre bien prise en charge, puisqu'elle est priorisée. ","Regulation cohérente, discussion entre médecin regulateur et effecteurs. utilité de la présence d'un médecin sur place ?? ","Sieste obligatoire sur garde de 24 heures, ambiance commune IDE et médecin. ","2 Gardes de 24 heures par semaine ","Deux à trois ","Patient avec des vraies critères d'urgences, régulé correctement. et conscient des difficultés de notre metier ( donc "" patient ""). La petite traumatologie ou ""bobologi"" ne devrait pas avoir sans place dans un service d'urgence de 00h à 7H00 du matin. Le motif "" j'ai ce symptomes depuis plusieurs mois"" devrais etre interdit ... ! ","Sereine, information au sein de l'équipe, avec le patient et avec sa famille, interessante, valorisée. ","Risque vitale à la journée. Actuelement nous voyons les situations qui peuvent se degrader meme sur plusieurs jours, car les patients n'ont plus de médecin généraliste. ","Pas de risque vitale .","Symptomes aigus, non prévisible","4","4","5","4","J'ai peur que le système repose sur la résilience de ces soignants, qui vont s'effondrer avec le temps. L'argent part dans les cliniques, qui refuse les patients dès qu'ils en ont l'occasion. Le système publique, lui, doit voir tout le monde, en étant moins remuneré par dessus le marché. 
Les urgences suibissent de plein fouet tous le systeme de soin qui est malade ( service d'hospitalisation, medecine générale, tension sur les blocs), sans avoir de renfort. Et l'atractivité est moindre, donc les effectifs ne sont pas remplis. 
--> Il faut valoriser le systeme publique, et cela passe je pense pas l'augmentation des moyens et une revalorisation financiere des soignants. Stoppé les subventions des cliniques qui ne jouent le jeu que lorsque cela côte! "
"2025/09/03 3:30:47 PM UTC+1","Oui","Homme","50-60 ans","Praticien non chef de service","28","Centre Hospitalier Universitaire","SAMU-SAS;SMUR;Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD","suffisamment de professionnels pour  prendre en charge les patients
professionnels  formés et entraînées (formation continue)
échanges professionnels intergénérationnels et inter pro (med-paramed-medico social-
confiance et partages  avec les autres disciplines
","je ne fais pas la diff entre structure et service","question trop large
nombre de personnel med et non med permettant la prise en charge adaptée et  dans des délais adaptés
possibilité de participer à la recherche en médecine d'urgence y compris ch non Universitaire
Politique de service de Formation continue
.....","question trop large
quotidien: équipe et organisation  permettant la réception le traitement  et le suivi des appels. ce qui inclus des vrais choix entre conseil  orientation vers d'autres professionnels et structures  que les services d'urgence","Matériel adapté
véhicules adaptés
protection des personnels adaptés
Cohésion avec les Services d'urgence...et les autres services
Equipes rompues au quotidien et à l'exceptionnel","question trop floue","40","le minimum 0  Le travail de nuit nuit à la santé","Tout patient relevant ou pouvant relever d'une urgence quand bien même il s'agirait à la fin d'une problématique de médecine générale ou ambulatoire","Soins nécessaires pour diagnostiquer, traiter ou stabiliser une situation urgentes:

soins critiques de décochage, (drainages, RCP, transfu urgentes ) 
soins et exploration   conventionnels , 
gestes spécifiques (PL, réduction/immobilisation de fractures ou luxation, sutures traitement d'abcès etc;)","Situation menaçant ou pouvant menacer la santé nécessitant une intervention diagnostique ou thérapeutique rapide (immédiate ou de qq heures) comprenant les urgences vitales, fonctionnelles ","toute situation ne nécessitant pas d'intervention diagnostique ou thérapeutique rapide (immédiate ou de qq heures)","situations urgentes et non urgentes pour les quelles les soins adaptés ne sont pas planifiante à l'avance (jours, semaine )","5","5","5","6",""
"2025/09/03 3:50:52 PM UTC+1","Oui","Homme","30-40 ans","Aide Soignant","12","Centre Hospitalier Universitaire","Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD;DAR A / UTEC / UPUP /  SC du DAR A ","Avoir un optique pour faire avancé les choses tous personnels confondu ","Une bonne régulation faites, dispatcher, et bien orienté des le départ. ","évaluer et réorienté vers les maisons médicales selon le critère de gravité","pas de réponse à donner ","pas de réponse à donner ","avoir des urgences adaptés a la populations accueilli. 
plus grand et avoir un meilleurs sens de circuit, avoir une imagerie sur place ","36","PARAMEDICALE 
-2 secrétaires
-2 ASH 
-1 brancardier 
-AS : 8 
-IDE : 10

MEDICALE 
-interne: 6
-externe: 6 
-médecin: 5
-1 cadre 

-2 MC","Patient qui relève vraiment d'une Urgence vitale 
Séparé les Urgences psy
","pas de critère a définir ","Avoir un visuelle sur l'état clinique, 
prendre les contentes ","selon le motifs d'entrés ","prévenir le spécialiste et l'orienté au bonne  endroit, après avoir le maximum d'information.
bilan, imagerie ","1","1","5","6","Pour la qualité: Avoir une direction qui traites mieux sont personnels, tous part de la
Avoir un état d'esprit d'équipe, et travailleurs.
Et ne pas oublié que demain ça peut être nous allongé sur un brancard "
"2025/09/03 3:55:09 PM UTC+1","Oui","Femme","20-30 ans","Infirmier diplômé d'état","1","Centre Hospitalier Général","Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD","L’effectif du personnel en bons nombres, une bonne proximité professionnelle interprofessionnel, de la communication optimale, des formations en continue sur l’avancé de la médecine d’urgence.","Une régulation à proximité, un établissement adapté avec un pôle critique divers. ","La répartitions des salles de façon cohérente entre les différentes filières, SAUV, SAS. Une équipe en nombre, une bonne coordination entre les professionnels.","Un accueil vecteur et patient venant pas eux même différent, une salle pour les patients arrivants attendant sur brancards pour moins faire patienter les vecteurs. Un binôme médecin / infirmier et infirmier / as","Je ne peux répondre à cette question pour le moment.","J’ai déjà répondu. ","48 maximum","1/2 maximum.","Une prise en charge diverse selon le cas des patients s’adaptant au motif d’accueil avec une prise en charge rapide et efficace.","Soins primaires, prises en charge de la douleur, diagnostic, priorisation","Situation avec risque vital ou pouvant entraîner le risque vital avec une prise en charge courte, efficiente et efficace en priorisant les soins, afin de stabiliser la situation.","Une situation ne mettant pas en jeu le pronostic vital et fonctionnel à court terme.","Motif imprévu : douleur thoracique, AVP.. qui nécessite une prise en charge urgence 
Mais il y a aussi les motifs non urgents qui restent non programmés : otites, grippe….","7","9","9","8",""
"2025/09/03 11:00:28 PM UTC+1","Oui","Femme","30-40 ans","Infirmier diplômé d'état","10","Centre Hospitalier Universitaire","SMUR;Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD","Pouvoir prendre le temps que l’ont souhaite avec les patients, sans avoir à penser à tous les autres qui attendent. Et lors d’une urgence vitale, avoir le luxe qu’une équipe entière soit dédiée uniquement à ce patient (médecin, interne, externe, infirmière, aide soignante.). ","Une structure où les patients ont leur intimité respecté. Ne pas les accueillir au milieu d’une immense salle avec d’autre patients, ne pas les déshabiller au milieu d’autres personnes avec uniquement des paravents mais avoir une pièce d’accueil pour un patient valide ou en brancard.  Comme un box d’accueil. 
Avoir plusieurs toilettes pour les patients. 
Avoir plusieurs salles d’attentes en fonction de la grille French (une salle pour les U2, une pour les U3…) avec dans chaque salle brancard du personnel pour surveillance. 
Avoir une vrai pièce adapté aux agitations et un secteur spécifique psychiatrique. ","Une structure où les patients attendent le moins de temps possible, en ayant la meilleure des prises en charge. ","Pas d’expérience dans ce domaine. ","Un smur qui est toujours à jour dans ses compétences, et s’entraîne régulièrement en équipe pour tout type d’interventions. 
Un smur qui a du matériel de pointe afin de pouvoir parfois gagner de précieuses minutes. ","Une immense salle centrale dans les urgences avec tous le personnel (du médecin, à l’aide soignant en passant par le brancardier et le cadre) et les salles de consultation tout autour. Dans cette salle suffisamment de poste informatique et chaises pour tous. Pourquoi pas isolé par des paravents si besoin, comme un open Space. 
Un déchoc avec une place suffisante pour s’occuper des patients, être tous autour du patient sans avoir un bureau, une rampe ou autre qui nous gêne. 
Des salles de consultations suffisamment grandes pour que l’on puisse tourner autour d’un brancard. 
Une salle de pause suffisamment grande pour accueillir le personnel avec pleins de micro-ondes, frigos et lave vaisselle fonctionnel.  ","35h","1 ","Personnellement je penses que tous type de patient doivent accepté en médecine d’urgences, et ce doit être à la structure, au personnel de s’adapter en fonction du handicap, de la pathologie. ","Avoir tout type de soins, avec un personnel formé et le matériel nécessaire adapté. ","Plusieurs degrés dans l’urgence. L’urgence vitale qui ne peut pas attendre et doit être prise en charge immédiatement, à l’urgence sociale d’une personne en perte d’autonomie qui se met en danger et n’a pas de personne ressource. ","Une situation qui peut attendre la visite chez un médecin de ville. ","Une situation urgente qui nécessite une organisation spécifique. ","4","5","1","5","En 10 ans, je trouve que les conditions de travail se sont dégradées. De moins en moins de moyen dans les hôpitaux public, pas assez de personnel, de moyens matériel, de considération pour notre travail. Les patients sont oubliés par les administratifs dans leur prise de décision concernant l’hôpital et il n’y a que le côté financier qui compte. Comme l’a dit Nicolas Jamin « la fonction publique hospitalière. Un endroit où le malade est secondaire, le soignant est interchangeable, er le dysfonctionnement est institutionnel. » 

J’ai espoir que cela change et que les choses s’améliorent pour les patients et nous. Cette étude peut faire parti du changement. "
"2025/09/04 6:31:34 AM UTC+1","Oui","Homme","50-60 ans","Aide Soignant","8","Centre Hospitalier Général","Traumatologie légère;Salle d'accueil des urgences vitales;UHCD","Un docteur a l accueil, agrandissement des urgences, personnel en plus, poste de brancardier urgences","Fluidité, capacité suffisante pour l accueil des patients ","Prise en charge immédiate ","Service a part, médecins et infirmiers dédiés et non pris parmi le personnel des urgences ","Service indépendant des urgences ","Structure avec capacité suffisante et personnel suffisant ","35h","1","Que les urgences vitales","Que les urgences vitales ","Cardio, pneumo, neuro, blessures graves et Trauma graves","Maladie de plus d une semaine, trauma leger","Aux urgences c est tous les jours","5","2","1","1",""
"2025/09/04 2:56:45 PM UTC+1","Oui","Homme","40-50 ans","Ambulancier diplômé d'état","3","Centre Hospitalier Universitaire","SMUR","?","Harmonie des métiers ","Harmonie des métiers ","Harmonie des métiers ","Harmonie des métiers ","?","40","3 ","Français pour pouvoir communiquer ","? ","Lorsque la vie de quelqu’un est en danger ","Lorsque la vie de quelqu’un n’est pas en danger ","? ","6","7","6","7",""
"2025/09/04 4:51:19 PM UTC+1","Oui","Homme","40-50 ans","Infirmier diplômé d'état","8","Centre Hospitalier Général","SMUR;Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD","Établir un ratio soignant / patient. Trop souvent les patients manquent de suivi optimal par manque de temps et de gestion du flux d arrivés. Créer des zones tampon entre les arrivants et les patients en attente de destinations ","Les urgences intégrées dans un plateau technique avec imagerie et radiologue et spécialiste sollicitable 24/24 et 7/7","Pas de patients dans les couloirs ou mis en tas dans des salles en attendant que quelqu’un vienne les voir ","Une régulation avec visio et une meilleur protection pour qu il puisse avoir le courage de réguler sans être contraint sous la pression d accepter des patients qui n ont pas être aux urgences","Plus de départ avec une meilleur organisation avec les pompiers et ouvrir au paramédical ","Avoir de l espace ","36h","2","Il n y a pas d âge ni de genre ni de religion ","Tous soins visant à protéger et prolonger la vie. ","Une menace immédiate ou à cours terme vital ou avec une perte d autonomie évidente ","Un patient qui peux n hésiter de soins pouvant être retardé dans le tps ou que le médecin traitant peu faire faire en pratique extérieur ","Situations  aiguë et non anticipé ","0","1","0","1","Étant infirmier la question ce pose sur les infirmiers en pratique avancée. Je me pose la question si une solution possible serait la creation d un poste de régulateur avec des partenaires locaux pour désengorger le flux 
Avec un système de contrat en tri partie "
"2025/09/05 6:44:27 AM UTC+1","Oui","Femme","50-60 ans","Praticien non chef de service","31","Centre Hospitalier Général;Clinique privée à but lucratif","SMUR;Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD;Medecine Post urgences","Centre hospitalier, service sau smur uhcd","Activité mixte Smur, filière courte, filière longue, uhcd et régulation, équipe soudée et solidaire, matériel et soignants en quantité suffisante, gestion des lits d aval en concertation avec les autres services ","Idem","Jamais expérimenté, une fausse bonne idée à mon avis. Il faudrait séparer urgences et activité non programmée de façon beaucoup plus nette","Bien régulé en amont, ne sortir que sur les missions qui relèvent vraiment du smur , et pas pour pallier au manque de médecin dans les Ehpad. 3 personnes minimum par équipe, quelle que soit la mission, avec du personnel bien formé en amont. ","Centre hospitalier dans une ville a taille humaine, proche de la population ","36 ( 3x12) en temps clinique +temps extra clinique ","1(  2 au max)","Urgences vitales, avc, douleurs thoraciques, douleurs abdominales, traumatologie, psychiatrie …. Tout ce qui a besoin d une évaluation urgente, et exclusion de tout ce qui devrait être géré différemment : maintien a domicile impossible, complications de pathologies déjà suivies ( cancérologie++), médecin généraliste indisponible, anémie chronique, patient envoyé par l Ehpad pour évaluation médicale car pas de médecin disponible…etc","Des locaux agréables, pas de patients dans les couloirs, du personnel empathique et pas fatigué, du matériel adapté, des solutions de prises en charge en aval, des examens complémentaires et avis spécialisés rapides","Défaillance d une fonction vitale immédiate, suspicion de pathologie grave susceptible de se décompenser dans les heures qui viennent, toute pathologie qui nécessite un traitement rapide ( dans les 24h) sous peine d aggraver le pronostic vital ou fonctionnel, ou de complications majeures ","Tout ce. Qui ne met pas en jeu le pronostic vital ou fonctionnel s il est différé de 24h","Pathologie ou symptômes aigus de survenue soudaine(<24h) accidentelle ou non.Decompensation aiguë de pathologie déjà connue et prise en charge ( hors défaillance vitale)","4","4","3","3",""
